500083              ,Century Extru. ,1.00,1703,8.00,4.94,181.89,1.22,0.15,0.00,0.91,3.08,1709,52.40,0.82,1709H,108.72,31.62,1.20,122.22,52.03,0.00,0.03,20.78,49.68,6.21,7/4,82.69,0.00,Aluminium - Extrusions
513309              ,Golkonda Aluminium ,10.00,1703,12.40,-1.45,0.00,3.08,2.48,0.00,-3.82,0.00,1709,0.00,-0.06,1709H,0.00,-96.03,-0.16,-104.56,60.49,0.00,0.01,6.08,4.02,3.24,5/2,7.19,0.00,Aluminium - Extrusions
513430              ,Maitri Enterprises ,10.00,1703,1.90,9.33,0.64,0.02,0.09,0.00,0.00,0.96,1709,0.05,0.01,1709H,0.27,-3.69,0.02,260.86,14.28,0.00,0.00,11.94,1.62,8.50,9/8,1.57,0.00,Aluminium - Extrusions
531869              ,Sacheta Metals L*,10.00,1703,18.94,14.61,61.15,0.60,0.31,0.25,0.68,2.15,1709,18.38,0.28,1709H,29.96,1.73,0.79,125.71,60.47,0.00,0.00,1.74,126.33,66.70,71/32,139.37,0.00,Aluminium - Extrusions
506003              ,Sudal Industries ,10.00,1703,7.37,2.29,84.15,-6.92,-9.40,0.00,11.61,0.00,1709,24.21,-1.61,1709H,47.88,33.23,-5.38,-52.59,63.01,2.15,0.00,9.85,12.11,16.44,17/8,31.49,0.00,Aluminium - Extrusions
537119              ,Tentiwala Metal Prod ,10.00,1703,5.42,2.20,29.49,-7.43,-13.70,0.00,3.53,0.00,    ,0.00,0.00,,0.00,0.00,0.00,0.00,59.96,0.00,0.00,0.11,2.44,4.50,8/4,32.16,0.00,Aluminium - Extrusions
539151              ,Arfin India ,10.00,1703,12.15,44.34,343.80,13.02,10.71,0.67,1.13,24.15,1709,89.19,4.77,1709H,175.31,6.15,7.86,25.10,72.67,0.00,0.00,1.57,607.07,499.50,518/133,664.41,41.60,Aluminium - Sheets/Coils/Wires
531410              ,Guj. Foils ,10.00,1703,8.20,39.76,284.33,-42.10,-51.33,0.00,10.82,0.00,1709,15.10,-3.65,1709H,189.90,16.62,-58.95,-551.99,58.93,25.11,1.21,2.82,12.47,15.20,28/10,335.86,0.00,Aluminium - Sheets/Coils/Wires
531979              ,Hind Aluminium Indus ,10.00,1703,6.30,120.79,498.17,6.47,10.27,1.60,1.03,8.50,1709,155.26,2.87,1709H,296.81,15.60,5.39,20.58,62.12,0.00,0.00,3.43,94.82,150.50,165/83,164.77,13.08,Aluminium - Sheets/Coils/Wires
539046              ,Manaksia Coated Meta ,1.00,1703,6.60,12.63,253.98,1.00,0.15,0.00,0.60,1.20,1709,59.36,0.27,1709H,114.67,-6.68,0.52,37.70,64.86,0.00,0.00,22.95,158.81,24.05,26/7,208.39,0.00,Aluminium - Sheets/Coils/Wires
526747              ,P G Foils Ltd ,10.00,1703,8.11,151.41,237.65,18.13,22.36,1.10,0.84,14.73,1709,60.44,3.23,1709H,117.02,-3.48,6.98,-11.57,57.81,0.00,0.00,7.63,183.45,226.20,239/80,283.39,11.19,Aluminium - Sheets/Coils/Wires
513405              ,PALCO ,10.00,1703,58.73,-5.97,0.00,-0.45,-0.08,0.00,-0.02,0.00,1709,0.00,-0.10,1709H,0.00,0.00,-0.11,74.18,2.15,0.00,0.41,40.42,1.17,0.20,1/0,1.74,0.00,Aluminium - Sheets/Coils/Wires
513307              ,Synthiko Foils ,5.00,1703,0.87,17.32,17.37,0.21,1.20,0.00,1.49,6.91,1709,5.63,0.11,1709H,10.41,14.19,0.19,114.31,44.65,0.00,0.00,1.12,8.11,46.60,51/11,11.64,26.25,Aluminium - Sheets/Coils/Wires
512573              ,Avanti Feeds Lim ,2.00,1703,9.08,126.03,2654.19,195.33,43.01,9.00,0.00,34.12,1709,654.48,102.97,1709H,1536.82,4.57,245.38,224.27,43.86,0.00,30.15,27.40,11685.11,2572.95,3000/529,11650.72,32.01,Animal/Shrimp Feed
519421              ,KSE ,10.00,1703,3.20,272.83,1047.25,15.62,48.80,30.00,0.42,17.88,1709,363.64,17.52,1709H,642.40,29.01,26.81,1593.70,25.80,0.00,0.00,5.08,790.10,2469.05,2711/643,815.61,17.71,Animal/Shrimp Feed
