537766,B C Power Controls L ,
532941,Cords Cable Industri ,
531472,Cybele Industries Lt ,
504240,Delton Cables ,
522163,Diamond Power Infras ,
540795,Dynamic Cables ,
530333,Emgee Cables And ,
539984,Hindusthan Urban Inf ,
540651,Jigar Cables ,
517569,KEI Industries ,
539760,Relicab Cable Manufa ,
539836,Ruby Cables Ltd. ,
517320,Savant Infocomm ,
538706,Ultracab (India) Ltd ,
504212,Universal Cables*,
539331,Veto Switchgears & C ,
532351,Aksh Optifibre ,
512296,Bhagyanagar India Lt ,
500060,Birla Cable*,
517330,CMI L ,
500144,Finolex Cables ,
530555,Paramount Commun ,
533389,Shilpi Cable Technol ,
532374,Sterlite Technologie*,
517530,Surana Telecom and P ,
523419,T Nadu Telecom L ,
517015,Vindhya Telelink ,
506579,Oriental Carbon*,
506590,Phillips Carbon*,
532683,AIA Engineering*,
531147,Alicon Castalloy ,
504646,Bhagwati Auto. ,
540652,Captain Technocast ,
530609,Carnation Indust ,
539527,Creative Casting ,
500128,Electrosteel Cas ,
504701,Gontermann Piep. ,
504786,Investment & Pre ,
522285,Jayaswal Neco Indust*,
513693,KIC Metaliks ,
517449,Magna Electrocas ,
531289,National Fittings ,
532864,Nelcast Ltd.*,
508875,Nitin Castings ,
513472,Simplex Castings ,
513517,Steel Cast ,
504961,Tayo Rolls Ltd ,
504605,Uni Abex Alloys ,
539314,Universal Autofoundr ,
500410,ACC ,
500425,Ambuja Cements Ltd. ,
532141,Andhra Cement ,
518091,Anjani Portland ,
532916,Barak Valley Cements ,
500335,Birla Corporation Lt ,
532931,Burnpur Cement Ltd. ,
502137,Deccan Cements*,
518029,Guj. Sidhee Ceme ,
500292,Heidelberg Cement In ,
530005,India Cements Lt ,
532644,JK Cement ,
500380,JK Lakshmi Cement L ,
500234,Kakatiya Cement Suga ,
590066,KCP Ltd.*,
518011,Keerthi Industries L ,
502157,Mangalam Cement ,
502168,NCL Industries ,
502165,OCL India Limi ,
535754,Orient Cement Ltd.*,
500322,Panyam Cement ,
500338,Prism Johnson ,
500339,Rain Industries ,
531825,RCC Cements Limi ,
502090,Sagar Cements*,
502175,Saurashtra Cemen*,
532323,Shiva Cement Ltd ,
500387,Shree Cement*,
502180,Shree Digvijay*,
530977,Shri Keshav Cements ,
540575,Star Cement ,
500260,The Ramco Cements*,
530131,Udaipur Cement Works*,
532538,UltraTech Cement ,
526941,Vaishno Cement C ,
539620,A Infrastructure ,
508906,Everest Industries L ,
533761,GPT Infraprojects*,
509675,HIL*,
504741,Indian Hume Pipe ,
532369,Ramco Industries ,
532841,Sahyadri Industries ,
526521,Sanghi Industrie ,
531444,Vardhman Concrete ,
509055,Visaka Indus. ,
524091,Acrysil Ltd. ,
532888,Asian Granito India ,
532443,Cera Sanitaryware L*,
532823,Euro Ceramics Ltd. ,
500187,HSIL Ltd. ,
500233,Kajaria Ceramics*,
515037,Murudeshwar Cer. ,
532722,Nitco Ltd. ,
530365,Orient Bell ,
515018,Regency Ceramics ,
515085,Restile Ceramics ,
507894,Schablona India ,
531548,Somany Ceramics Ltd. ,
507515,CJ Gelatine ,
526739,Narmada Gelatines Lt ,
507486,Caprolactam Chemical ,
541269,Chemfab Alkalis ,
500171,GHCL ,
530001,Guj. Alkalie & C ,
506520,Jayshree Chem. ,
506525,Kanoria Chemical ,
500284,Lords Chloro Alkali ,
506852,Punj. Alkalie ,
530017,Standard Indust ,
500770,Tata Chemicals ,
